factor,description,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
f1,helix/bend preference,-1.56,0.22,1.14,0.58,0.12,-0.47,-1.45,1.46,-0.41,-0.73,-1.04,-0.34,-1.4,-0.21,2.06,0.81,0.26,0.3,1.38,-0.74
f2,side-chain size,-1.67,1.27,-0.07,-0.22,-0.89,0.24,0.19,-1.96,0.52,-0.16,0,0.82,0.18,0.98,-0.33,-1.08,-0.7,2.1,1.48,-0.71
f3,extended structure size,-0.97,1.37,-0.12,-1.58,0.45,0.07,-1.61,-0.23,-0.28,1.79,-0.24,-0.23,-0.42,-0.36,-1.15,0.16,1.21,-0.72,0.8,2.04
f4,hydrophobicity,-0.27,1.87,0.81,0.81,-1.05,1.1,1.17,-0.16,0.28,-0.77,-1.1,1.7,-0.73,-1.43,-0.75,0.42,0.63,-1.57,-0.56,-0.4
f5,double-bend preference,-0.93,-1.7,0.18,-0.92,-0.71,1.1,-1.31,0.1,1.61,-0.54,-0.55,1.54,2,0.22,0.88,-0.21,-0.1,-1.16,0,0.5
f6,partial specific volume,-0.78,0.46,0.37,0.15,2.41,0.59,0.4,-0.11,1.01,0.03,-2.05,-1.62,1.52,-0.81,-0.45,-0.43,0.21,0.57,-0.68,-0.81
f7,flat extended performance,-0.2,0.92,-0.09,-1.52,1.52,0.84,0.04,1.32,-1.85,-0.83,0.96,1.15,0.26,0.67,0.3,-1.89,0.24,-0.48,-0.31,-1.07
f8,occurrence in alpha region,-0.08,-0.39,1.23,0.47,-0.69,-0.71,0.38,2.36,0.47,0.51,-0.76,-0.08,0.11,1.1,-2.3,-1.15,-1.15,-0.4,1.03,0.06
f9,pK-C,0.21,0.23,1.1,0.76,1.13,-0.03,-0.35,-1.66,1.13,0.66,0.45,-0.48,-1.27,1.71,0.74,-0.97,-0.56,-2.3,-0.05,-0.46
f10,surrounding hydrobphobicity,-0.48,0.93,-1.73,0.7,1.1,-2.33,-0.12,0.46,1.63,-1.78,0.93,0.6,0.27,-0.44,-0.28,-0.23,0.19,-0.6,0.53,0.65